term 8, 30000 pasos de N*N
temp	mag	en
2.699990	0.354503	-0.354503
2.689990	0.355606	-0.355606
2.679990	0.356547	-0.356547
2.669990	0.357708	-0.357708
2.659990	0.359125	-0.359125
2.649990	0.360343	-0.360343
2.639990	0.362009	-0.362009
2.629990	0.362753	-0.362753
2.619990	0.364458	-0.364458
2.609990	0.365488	-0.365488
2.599990	0.366341	-0.366341
2.589990	0.368141	-0.368141
2.579990	0.368704	-0.368704
2.569990	0.370375	-0.370375
2.559990	0.372076	-0.372076
2.549990	0.372955	-0.372955
2.539990	0.374276	-0.374276
2.529990	0.376022	-0.376022
2.519990	0.376811	-0.376811
2.509990	0.378468	-0.378468
2.499990	0.379458	-0.379458
2.489990	0.381376	-0.381376
2.479990	0.382967	-0.382967
2.469990	0.383752	-0.383752
2.459990	0.385766	-0.385766
2.449990	0.387002	-0.387002
2.439990	0.388462	-0.388462
2.429990	0.389855	-0.389855
2.419990	0.391454	-0.391454
2.409990	0.392689	-0.392689
2.399990	0.393996	-0.393996
2.389990	0.395817	-0.395817
2.379990	0.397160	-0.397160
2.369990	0.398324	-0.398324
2.359990	0.400468	-0.400468
2.349990	0.401096	-0.401096
2.339990	0.403338	-0.403338
2.329990	0.404533	-0.404533
2.319990	0.406233	-0.406233
2.309990	0.408022	-0.408022
2.299990	0.409226	-0.409226
2.289990	0.410554	-0.410554
2.279990	0.412500	-0.412500
2.269990	0.414493	-0.414493
2.259990	0.415638	-0.415638
2.249990	0.417552	-0.417552
2.239990	0.419114	-0.419114
2.229990	0.420673	-0.420673
2.219990	0.422158	-0.422158
2.209991	0.423731	-0.423731
2.199991	0.425690	-0.425690
2.189991	0.427292	-0.427292
2.179991	0.429305	-0.429305
2.169991	0.430711	-0.430711
2.159991	0.432355	-0.432355
2.149991	0.434386	-0.434386
2.139991	0.435981	-0.435981
2.129991	0.437720	-0.437720
2.119991	0.439280	-0.439280
2.109991	0.441415	-0.441415
2.099991	0.443060	-0.443060
2.089991	0.445119	-0.445119
2.079991	0.446977	-0.446977
2.069991	0.448472	-0.448472
2.059991	0.450581	-0.450581
