term 586, 20000 pasos de N*N
temp	mag	var_m	en	var_e
2.289993	0.604886	38979.863281	-1.396890	10038.441406
2.284993	0.613116	38410.054688	-1.404640	10364.710938
2.279993	0.624180	37377.312500	-1.413367	10088.566406
2.274992	0.638094	35141.332031	-1.422369	10036.008789
2.269992	0.649087	33437.796875	-1.430766	9740.469727
2.264992	0.662287	31633.681641	-1.440444	9587.727539
2.259992	0.670180	30416.757812	-1.447766	9556.219727
2.254992	0.688159	26839.224609	-1.459249	9348.535156
2.249992	0.706582	21534.156250	-1.470378	8793.393555
2.244992	0.715243	20705.615234	-1.478086	8736.176758
2.239992	0.719332	21331.765625	-1.485223	8724.041992
2.234992	0.733061	17943.855469	-1.494573	8176.365723
2.229991	0.742089	16036.663086	-1.502277	8046.936035
2.224991	0.748956	15112.825195	-1.509717	7986.238770
2.219991	0.757121	14151.014648	-1.517690	7511.994141
2.214991	0.763574	13614.480469	-1.524494	7580.891602
2.209991	0.772070	11218.275391	-1.532313	7115.409180
2.204991	0.776177	11469.001953	-1.538565	7301.136719
2.199991	0.789666	8281.253906	-1.548809	6697.251465
2.194991	0.793133	7860.250977	-1.554378	6651.446289
2.189991	0.797446	8091.287109	-1.560244	6609.021484
2.184990	0.803700	6635.960449	-1.566381	6397.443848
2.179990	0.808078	6948.460449	-1.572920	6336.116211
2.174990	0.812962	6062.424316	-1.579188	6090.859375
2.169990	0.819589	5289.415527	-1.587031	5921.235352
2.164990	0.824138	4797.676270	-1.592544	5801.966797
2.159990	0.827288	4900.622559	-1.598553	5693.713379
2.154990	0.832004	4029.197021	-1.603864	5568.556641
2.149990	0.836245	4192.099609	-1.610498	5500.404785
2.144989	0.838495	4200.219238	-1.615198	5425.160156
2.139989	0.842310	3829.664551	-1.620626	5286.063477
2.134989	0.845303	3543.560059	-1.625117	5223.360840
2.129989	0.851114	2735.308594	-1.631909	4925.415527
2.124989	0.853971	2755.255859	-1.637591	4881.712402
2.119989	0.857112	2713.098389	-1.643074	4779.532227
2.114989	0.859611	2677.926025	-1.646987	4752.414062
2.109989	0.863008	2318.331787	-1.652132	4656.017578
2.104989	0.865986	2187.389893	-1.657695	4472.952637
2.099988	0.868232	2213.896973	-1.661549	4566.983887
2.094988	0.871093	2026.353027	-1.666240	4467.836426
2.089988	0.874033	1917.394897	-1.671823	4277.231445
2.084988	0.876611	1749.356567	-1.676036	4233.314941
2.079988	0.878925	1667.112427	-1.680552	4159.682617
2.074988	0.881859	1527.278076	-1.685565	4042.448975
2.069988	0.884024	1551.931519	-1.689678	4036.197510
2.064988	0.886394	1415.514771	-1.694143	3912.049316
2.059988	0.888211	1386.699219	-1.698092	3886.672607
2.054987	0.890742	1306.526733	-1.703166	3757.529541
2.049987	0.892510	1285.807861	-1.706312	3661.014160
2.044987	0.894934	1237.135132	-1.711475	3730.148438
2.039987	0.896698	1162.613770	-1.714665	3629.568115
2.034987	0.898874	1096.479370	-1.719212	3507.057373
2.029987	0.900664	1055.147339	-1.722721	3520.172363
2.024987	0.902718	998.952454	-1.726895	3384.493164
2.019987	0.904638	957.633179	-1.730901	3356.182373
2.014987	0.906388	923.858948	-1.734791	3241.275146
2.009986	0.907901	889.158875	-1.738415	3244.643311
2.004986	0.909280	879.362915	-1.741163	3199.980469
1.999986	0.911316	825.082764	-1.745633	3111.690430
1.994986	0.912893	820.005493	-1.748912	3103.508545
1.989986	0.914523	756.802246	-1.752629	3013.565430
1.984986	0.915941	745.549133	-1.756167	2964.993408
1.979986	0.917561	713.762451	-1.759447	2919.597412
1.974986	0.919376	681.685486	-1.763413	2880.235352
1.969986	0.920683	649.964172	-1.766578	2809.329590
1.964986	0.922295	631.190369	-1.770201	2758.645508
1.959986	0.923231	636.730286	-1.772775	2747.424316
