term 489, 10000 pasos de N*N
temp	Mag	En
2.359998	0.349331	-1.254687
2.369998	0.377083	-1.251435
2.379998	0.383729	-1.248669
2.389998	0.338712	-1.227380
2.399998	0.309620	-1.214720
2.409998	0.296819	-1.198604
2.419998	0.309380	-1.193246
2.429998	0.229988	-1.170514
2.439998	0.263222	-1.166029
2.449998	0.213666	-1.147946
2.459998	0.214556	-1.145250
2.469998	0.218906	-1.132187
2.479998	0.212939	-1.130364
2.489998	0.207264	-1.116611
2.499998	0.217261	-1.107310
2.509998	0.198328	-1.098772
2.519998	0.180996	-1.085496
2.529998	0.209337	-1.087039
2.539998	0.173264	-1.073845
2.549998	0.181611	-1.068178
2.559998	0.179592	-1.061302
2.569998	0.155897	-1.045786
2.579998	0.166651	-1.041497
2.589998	0.163824	-1.038334
2.599998	0.151282	-1.032262
2.609998	0.151558	-1.020970
2.619998	0.136504	-1.010235
2.629998	0.141460	-1.006562
2.639998	0.145015	-0.999802
2.649998	0.136531	-0.996062
2.659998	0.141652	-0.988886
2.669998	0.135590	-0.984094
2.679998	0.135425	-0.974118
2.689998	0.131808	-0.968844
2.699998	0.125050	-0.964672
2.709998	0.126847	-0.956846
2.719998	0.109579	-0.947869
2.729998	0.121459	-0.945067
2.739998	0.120300	-0.941506
2.749998	0.107757	-0.931156
2.759998	0.123629	-0.929938
2.769998	0.111271	-0.925431
2.779998	0.108529	-0.917753
2.789998	0.105213	-0.915532
2.799998	0.109642	-0.906917
2.809998	0.095947	-0.901554
2.819998	0.106949	-0.899190
2.829998	0.094358	-0.891355
2.839998	0.104028	-0.887922
2.849998	0.102646	-0.882690
2.859998	0.103812	-0.880135
2.869998	0.096677	-0.873312
